,up,down,left,right
"(0,,)",-4.96310651185,-4.95388313982,-4.96310651185,-4.95388313982
"(0,,)",-4.95388313982,-4.94235392477,-4.96310651185,-4.94235392477
"(0,,)",-4.94235392477,-4.92794240596,-4.95388313982,-4.92794240596
"(0,,)",-4.92794240596,-4.90992800745,-4.94235392477,-4.90992800745
"(0,,)",-4.90992800745,-4.88741000932,-4.92794240596,-203.927942406
"(0,,)",-203.927942406,-203.909928007,-4.90992800745,-361.88928
"(0,,)",-361.88928,-362.151424,-203.927942406,-202.3616
"(0,,)",-202.3616,-202.68928,-361.88928,-2.952
"(0,,)",-2.952,-3.3616,-202.3616,-2.44
"(0,,)",-2.44,-2.952,-2.952,-1.8
"(0,,)",-1.8,-2.44,-2.44,-1.0
"(0,,)",-1.0,-1.8,-1.8,0.0
"(0,,)",0.0,0.0,0.0,0.0
"(1,,)",-4.96310651185,-4.94235392477,-4.95388313982,-4.94235392477
"(1,,)",-4.95388313982,-4.92794240596,-4.95388313982,-4.92794240596
"(1,,)",-4.94235392477,-4.90992800745,-4.94235392477,-4.90992800745
"(1,,)",-4.92794240596,-4.88741000932,-4.92794240596,-4.88741000932
"(1,,)",-4.90992800745,-4.85926251164,-4.90992800745,-203.909928007
"(1,,)",-203.927942406,-203.887410009,-4.88741000932,-362.151424
"(1,,)",-361.88928,-362.3611392,-203.909928007,-202.68928
"(1,,)",-202.3616,-202.951424,-362.151424,-3.3616
"(1,,)",-2.952,-3.68928,-202.68928,-2.952
"(1,,)",-2.44,-3.3616,-3.3616,-2.44
"(1,,)",-1.8,-2.952,-2.952,-1.8
"(1,,)",-1.0,-2.44,-2.44,-1.0
"(1,,)",0.0,-1.8,-1.8,-1.0
"(2,,)",-4.95388313982,-4.92794240596,-4.94235392477,-4.92794240596
"(2,,)",-4.94235392477,-4.90992800745,-4.94235392477,-4.90992800745
"(2,,)",-4.92794240596,-4.88741000932,-4.92794240596,-4.88741000932
"(2,,)",-4.90992800745,-4.85926251164,-4.90992800745,-4.85926251164
"(2,,)",-4.88741000932,-4.82407813956,-4.88741000932,-203.887410009
"(2,,)",-203.909928007,-203.859262512,-4.85926251164,-362.3611392
"(2,,)",-362.151424,-362.52891136,-203.887410009,-202.951424
"(2,,)",-202.68928,-203.1611392,-362.3611392,-3.68928
"(2,,)",-3.3616,-3.951424,-202.951424,-3.3616
"(2,,)",-2.952,-3.68928,-3.68928,-2.952
"(2,,)",-2.44,-3.3616,-3.3616,-2.44
"(2,,)",-1.8,-2.952,-2.952,-1.8
"(2,,)",-1.0,-2.44,-2.44,-1.8
"(3,,)",-4.94235392477,-4.90992800745,-4.92794240596,-4.90992800745
"(3,,)",-4.92794240596,-4.88741000932,-4.92794240596,-4.88741000932
"(3,,)",-4.90992800745,-4.85926251164,-4.90992800745,-4.85926251164
"(3,,)",-4.88741000932,-4.82407813956,-4.88741000932,-4.82407813956
"(3,,)",-4.85926251164,-4.78009767444,-4.85926251164,-203.859262512
"(3,,)",-203.887410009,-203.725122093,-4.82407813956,-362.52891136
"(3,,)",-362.3611392,-203.656402616,-203.859262512,-203.1611392
"(3,,)",-202.951424,-203.32891136,-362.52891136,-3.951424
"(3,,)",-3.68928,-4.1611392,-203.1611392,-3.68928
"(3,,)",-3.3616,-3.951424,-3.951424,-3.3616
"(3,,)",-2.952,-3.68928,-3.68928,-2.952
"(3,,)",-2.44,-3.3616,-3.3616,-2.44
"(3,,)",-1.8,-2.952,-2.952,-2.44
"(4,,)",-4.92794240596,-4.88741000932,-4.90992800745,-4.88741000932
"(4,,)",-4.90992800745,-4.85926251164,-4.90992800745,-4.85926251164
"(4,,)",-4.88741000932,-4.82407813956,-4.88741000932,-4.82407813956
"(4,,)",-4.85926251164,-4.78009767444,-4.85926251164,-4.78009767444
"(4,,)",-4.82407813956,-4.72512209306,-4.82407813956,-203.725122093
"(4,,)",-203.859262512,-4.65640261632,-4.78009767444,-203.656402616
"(4,,)",-362.52891136,-4.5705032704,-203.725122093,-203.32891136
"(4,,)",-203.1611392,-4.463129088,-203.656402616,-4.1611392
"(4,,)",-3.951424,-4.32891136,-203.32891136,-3.951424
"(4,,)",-3.68928,-4.1611392,-4.1611392,-3.68928
"(4,,)",-3.3616,-3.951424,-3.951424,-3.3616
"(4,,)",-2.952,-3.68928,-3.68928,-2.952
"(4,,)",-2.44,-3.3616,-3.3616,-2.952
"(5,,)",-4.90992800745,-4.90992800745,-4.88741000932,-4.85926251164
"(5,,)",-4.88741000932,-4.88741000932,-4.88741000932,-4.82407813956
"(5,,)",-4.85926251164,-4.85926251164,-4.85926251164,-4.78009767444
"(5,,)",-4.82407813956,-4.82407813956,-4.82407813956,-4.72512209306
"(5,,)",-4.78009767444,-4.78009767444,-4.78009767444,-4.65640261632
"(5,,)",-203.725122093,-203.725122093,-4.72512209306,-4.5705032704
"(5,,)",-203.656402616,-203.656402616,-4.65640261632,-4.463129088
"(5,,)",-203.32891136,-203.57050327,-4.5705032704,-4.32891136
"(5,,)",-4.1611392,-4.463129088,-4.463129088,-4.1611392
"(5,,)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(5,,)",-3.68928,-4.1611392,-4.1611392,-3.68928
