,up,down,left,right
"(0,,)",-4.85926251164,-4.88741000932,-4.85926251164,-4.82407813956
"(0,,)",-4.82407813956,-4.85926251164,-4.85926251164,-4.78009767444
"(0,,)",-4.78009767444,-4.82407813956,-4.82407813956,-4.72512209306
"(0,,)",-4.72512209306,-203.656402616,-4.78009767444,-4.65640261632
"(0,,)",-4.65640261632,-4.5705032704,-4.72512209306,-4.72512209306
"(0,,)",-4.72512209306,-203.1611392,-4.65640261632,-203.1611392
"(0,,)",-203.1611392,-3.951424,-4.72512209306,-3.951424
"(0,,)",-3.951424,-3.68928,-203.1611392,-3.68928
"(0,,)",-3.68928,-3.3616,-3.951424,-201.44
"(0,,)",-201.44,-2.952,-3.68928,-1.8
"(0,,)",-1.8,-2.44,-201.44,-1.0
"(0,,)",-1.0,-1.8,-1.8,0.0
"(0,,)",0.0,0.0,0.0,0.0
"(1,,)",-4.85926251164,-4.90992800745,-4.88741000932,-4.85926251164
"(1,,)",-4.82407813956,-4.88741000932,-4.88741000932,-4.82407813956
"(1,,)",-4.78009767444,-203.656402616,-4.85926251164,-203.656402616
"(1,,)",-4.72512209306,-4.5705032704,-4.82407813956,-4.5705032704
"(1,,)",-4.65640261632,-4.463129088,-203.656402616,-203.1611392
"(1,,)",-4.72512209306,-4.32891136,-4.5705032704,-3.951424
"(1,,)",-203.1611392,-4.1611392,-203.1611392,-3.68928
"(1,,)",-3.951424,-3.951424,-3.951424,-3.3616
"(1,,)",-3.68928,-3.68928,-3.68928,-2.952
"(1,,)",-201.44,-3.3616,-3.3616,-2.44
"(1,,)",-1.8,-2.952,-2.952,-1.8
"(1,,)",-1.0,-2.44,-2.44,-200.0
"(1,,)",0.0,-201.952,-1.8,-200.0
"(2,,)",-4.88741000932,-203.927942406,-4.90992800745,-4.88741000932
"(2,,)",-4.85926251164,-4.90992800745,-4.90992800745,-203.656402616
"(2,,)",-4.82407813956,-203.927942406,-4.88741000932,-4.5705032704
"(2,,)",-203.656402616,-203.656402616,-203.656402616,-4.463129088
"(2,,)",-4.5705032704,-4.5705032704,-4.5705032704,-4.32891136
"(2,,)",-203.1611392,-4.463129088,-4.463129088,-4.1611392
"(2,,)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(2,,)",-3.68928,-203.1611392,-4.1611392,-3.68928
"(2,,)",-3.3616,-3.951424,-3.951424,-3.3616
"(2,,)",-2.952,-202.68928,-3.68928,-2.952
"(2,,)",-2.44,-202.3616,-3.3616,-2.44
"(2,,)",-1.8,-2.952,-2.952,-201.952
"(2,,)",-200.0,-3.3616,-2.44,-201.952
"(3,,)",-4.90992800745,-4.94235392477,-203.927942406,-4.90992800745
"(3,,)",-4.88741000932,-4.92794240596,-203.927942406,-203.927942406
"(3,,)",-203.656402616,-4.94235392477,-4.90992800745,-203.656402616
"(3,,)",-4.5705032704,-4.95388313982,-203.927942406,-4.5705032704
"(3,,)",-4.463129088,-203.656402616,-203.656402616,-4.463129088
"(3,,)",-4.32891136,-4.5705032704,-4.5705032704,-4.32891136
"(3,,)",-4.1611392,-4.463129088,-4.463129088,-203.1611392
"(3,,)",-3.951424,-4.32891136,-4.32891136,-3.951424
"(3,,)",-3.68928,-4.1611392,-203.1611392,-202.68928
"(3,,)",-3.3616,-3.951424,-3.951424,-202.3616
"(3,,)",-2.952,-3.68928,-202.68928,-2.952
"(3,,)",-2.44,-3.3616,-202.3616,-3.3616
"(3,,)",-201.952,-202.68928,-2.952,-3.3616
"(4,,)",-203.927942406,-203.95388314,-4.94235392477,-4.92794240596
"(4,,)",-4.90992800745,-4.94235392477,-4.94235392477,-4.94235392477
"(4,,)",-203.927942406,-203.95388314,-4.92794240596,-4.95388313982
"(4,,)",-203.656402616,-4.96310651185,-4.94235392477,-203.656402616
"(4,,)",-4.5705032704,-203.725122093,-4.95388313982,-4.5705032704
"(4,,)",-4.463129088,-4.65640261632,-203.656402616,-4.463129088
"(4,,)",-4.32891136,-203.57050327,-4.5705032704,-4.32891136
"(4,,)",-203.1611392,-203.463129088,-4.463129088,-4.1611392
"(4,,)",-3.951424,-203.32891136,-4.32891136,-3.951424
"(4,,)",-202.68928,-4.1611392,-4.1611392,-3.68928
"(4,,)",-202.3616,-202.951424,-3.951424,-3.3616
"(4,,)",-2.952,-3.68928,-3.68928,-202.68928
"(4,,)",-3.3616,-202.951424,-3.3616,-202.68928
"(5,,)",-4.94235392477,-4.96310651185,-203.95388314,-4.94235392477
"(5,,)",-4.92794240596,-4.95388313982,-203.95388314,-203.95388314
"(5,,)",-4.94235392477,-203.963106512,-4.94235392477,-4.96310651185
"(5,,)",-4.95388313982,-4.97048520948,-203.95388314,-203.725122093
"(5,,)",-203.656402616,-4.97638816759,-4.96310651185,-4.65640261632
"(5,,)",-4.5705032704,-203.725122093,-203.725122093,-203.57050327
"(5,,)",-4.463129088,-4.85926251164,-4.65640261632,-203.463129088
"(5,,)",-4.32891136,-4.82407813956,-203.57050327,-203.32891136
"(5,,)",-4.1611392,-203.463129088,-203.463129088,-4.1611392
"(5,,)",-3.951424,-4.32891136,-203.32891136,-202.951424
